,Address,Area,City,HomeType,isNew,Latitude,Longitude,PostalCode,Price,ID,PaymentOnAccount,DistanceToShopping,DistanceToTransportation,DistanceToSchool,DistanceToForest,DistanceToWater,Balcony,Floors,Rooms,Toilets,Connection,LivingArea,YearOfConstruction,EstateValue,EnergyRating,Level,GroundArea,LandValue,Sewers,Basement,PriceDevelopment,Accessories,Heating,Windows,YearOfValuation,Exterior,NetOwnerFee,GrossOwnerFee
1730,"Richard Mortensens Vej 8G, Ørestad",129.0,København S,Rækkehus,False,55.624084798032705,12.5718200483017,2300,4.495.000 ,168N00353,,,,,,,,1,4,2,,150  m2,1961,3.400.000,C,,1.150  m2,1.806.200,,85  m2,0%,Siemens opvaskemaskine - Bosch indbygningsovn - Bosch kogeplader -  køle-/fryseskab - integreretAEG vaskemaskine - Whirlpool tørretumbler -,,,2018,,22.017  , 19.365  kr.
1838,Oxford Have 171,135.0,København S,Rækkehus,True,55.6422816931814,12.609109958684499,2300,4.995.500 ,1340000102,,3.000  m,800  m,1.500  m,,,,2,5,2,,278  m2,1967,3.900.000,C,,1.815  m2,1.441.100,,,0%,AEG tørretumblerMiele vaskemaskineMiele køle/fryseskabEmhætte - indbygget i loftSiemens opvaskemaskineSmeg komfur,,2 lags energiruder,2018,Træværk,32.792  , 28.496  kr.
1839,"Amagerbrogade 8, 4. tv., Amager",132.0,København S,Andelsbolig,False,55.667560446154496,12.597114195994198,2300,650.000 ,1160000050,,300  m,200  m,100  m,,,,1,4,1,,96  m2,1971,1.050.000,D,2,,196.500,,,0%,Voss komfurSiemens opvaskemaskineEmhætteBeko køle-/fryseskab,,Thermo,2018,,6.610  , 5.739  kr.
1840,"Ørestads Boulevard 55A, 5. 508., Ørestad",131.0,København S,Ejerlejlighed,False,,,2300,4.999.995 ,168N00357,,1.000  m,,,,50  m,,1,4,1,,105  m2,1900,4.100.000,C,1,,1.711.100,,,0%,Electrolux tørretumbler - Siemens vaskemaskine - Siemens indbygningsovn - Gorenje emhætte - Miele opvaskemaskine - Bosch køleskab -,,,2018,,13.513  , 11.738  kr.
1841,"Islands Brygge 60, 2. th., Islands Brygge",136.0,København S,Ejerlejlighed,False,55.656871425602894,12.5658583670813,2300,5.999.000 ,178X00284,,1.000  m,500  m,350  m,,,,1,6,2,,180  m2,2013,3.350.000,A20,,686  m2,1.405.400,,,0%,Siemens køleskabSiemens fryserSiemens opvaskemaskineSiemens 2 x indbygningsovmneSiemens kogepladeSiemens emhætteSiemens vaskemaskine - Siemens tørretumbler -,,Energiruder,2018,Aqua paneler og Cedertræ,24.908  , 21.644  kr.
1892,"Strandlodsvej 23G, 9. tv.",146.0,København S,Ejerlejlighed,True,55.6655743833461,12.6253846309897,2300,8.995.000 ,1450000136,,1.000  m,,,,,,1,3,1,,50  m2,1974,1.000.000,,,823  m2,443.000,,,0%,Alle hårde hvidevarer medfølger uden ansvar for sælger.,Varmepumpe,Termo,2018,Træ,5.230  , 4.483  kr.
1893,"Thingvalla Allé 32, 2.",141.0,København S,Villalejlighed,False,55.651862575939106,12.607596223158698,2300,6.495.000 ,1200000095,,1.000  m,,,,,,1,2,1,,33  m2,1979,850.000,,,817  m2,441.500,,,-5%,KomfurKøleskab,Elvarme + brændeovn,Termo,2017,Træ,4.033  , 3.456  kr.
1894,"Amagerfælledvej 12A, 4. TH., Amager",146.0,København S,Ejerlejlighed,False,55.66625538193029,12.5946794755505,2300,5.498.000 ,116T00204,,1.070  m,,,,,,1,3,1,,79  m2,1967,1.000.000,,,1.215  m2,588.700,,,-5%,ElkomfurOpvaskemaskineKøle-/fryseskabVaskemaskineTørretumbler,,Termo,2018,Mursten og træ,6.424  , 5.507  kr.
1895,Obdams Allé 8,148.0,København S,Rækkehus,False,55.6499544464476,12.614528793047599,2300,5.645.000 ,134C00112,,3.500  m,170  m,7.000  m,700  m,4.000  m,,2,8,2,,136  m2,1870,1.300.000,C,,847  m2,481.700,Offentlig,,-3%,Opvaskemaskine mrk. BoschOvn mrk. GorenjeKøleskab mrk. GramKogeplade mrk. VossEmhætte mrk. ThermexVaskemaskine mrk. AEG og BoschFryser mrk. UPOLille køleskab mrk. Electrolux,Oliefyr,Termo og energi,2015,Mursten,8.221  , 7.127  kr.
1896,Niels Neergaards Gade 25,148.0,København S,Rækkehus,False,55.655222433603704,12.567180685367598,2300,7.495.000 ,1170000018,,2.000  m,500  m,1.400  m,,,,2,4,1,,101  m2,1917,1.750.000,G,,882  m2,856.500,,,-12%,Ovn mrk. GorenjeEmhætte mrk. GramOpvaskemaskine mrk. BlombergKøle/frys mrk. Gram,,,2017,,11.606  , 10.081  kr.
1897,"Islands Brygge 40, 1. mf., Islands Brygge",142.0,København S,Ejerlejlighed,False,55.6575850747083,12.5662951738534,2300,6.199.000 ,178X00227,,220  m,240  m,850  m,,,,,6,2,,135  m2,1971,1.900.000,C,,283  m2,623.000,,64  m2,0%,Komfur mrk. SiemensIndbygningsovn mrk. SiemensKogeplade mrk. SiemensEmhætte mrk. TermexKøleskab mrk. SiemensFryser mrk. AtlasVaskemaskine mrk. MieleTørretumbler mrk. VølundOpvaskemaskine mrk. Siemens,,,2017,,9.283  , 8.061  kr.
1898,"Islands Brygge 40, 2. mf., Islands Brygge",141.0,København S,Ejerlejlighed,False,55.6575850747083,12.5662951738534,2300,6.399.000 ,178X00230,,280  m,100  m,900  m,,,,,4,2,,109  m2,1964,1.600.000,E,,657  m2,781.400,,109  m2,-3%,Komfur mrk. Gram.Emhætte mrk. WascoKøleskab mrk. HakaFryser mrk. FrigorVaskemaskine mrk. GorenjeTørretumbler mrk. ZanussiOpvaskemaskine mrk. Siemens,Oliefyr,,2017,,10.075  , 8.750  kr.
1899,"Islands Brygge 60, 3. th., Islands Brygge - privat tagterras",145.0,København S,Ejerlejlighed,False,55.656871425602894,12.5658583670813,2300,8.249.000 ,178X00286,,3.000  m,3.100  m,3.000  m,20  m,20  m,,,,,,,,1.350.900,,,701  m2,1.350.900,,,0%,,,,2018,,8.955  , 7.381  kr.
1900,"Islands Brygge 60, 3. tv., Islands Brygge - privat tagterras",143.0,København S,Ejerlejlighed,False,55.656871425602894,12.5658583670813,2300,8.749.000 ,178X00285,,150  m,100  m,750  m,,,,2,5,2,,104  m2,1965,1.600.000,D,,1.065  m2,903.600,,104  m2,0%,,,Termo,2018,Beton,9.677  , 8.404  kr.
1930,Rundholtsvej 37,156.0,København S,Rækkehus,False,55.6529728002944,12.5647257812096,2300,7.998.000 ,117S00107,,650  m,200  m,550  m,,,,,5,2,,158  m2,1917,2.000.000,D,,1.117  m2,654.200,,6  m2,0%,,,,2018,,12.388  , 10.740  kr.
1931,"Islands Brygge 40, 3. mf., Islands Brygge",151.0,København S,Ejerlejlighed,False,55.6575850747083,12.5662951738534,2300,8.699.000 ,178X00233,,1.000  m,170  m,2.100  m,,,,,5,2,,172  m2,1974,1.750.000,E,,1.224  m2,690.700,,,-2%,"Stenbænk, pumpe, vognhjul, harve og husnavn medfølger ikke i handlen.",,,2018,Mursten,10.075  , 8.733  kr.
1956,Vejlands Allé 54,167.0,København S,Villa,False,55.6431558328718,12.6072030289728,2300,6.248.000 ,1200000065,,1.500  m,,,,,,1,5,1,,81  m2,1967,1.650.000,,,1.529  m2,904.700,,,0%,,Elvarme + brændeovn,Termo,2017,Træ,12.460  , 10.885  kr.
1957,"Amagerbrogade 96F, 2. th.",164.0,København S,Ejerlejlighed,False,55.65974285215,12.605548017293199,2300,5.895.000 ,1170000056,,2.300  m,240  m,,,1.000  m,,,3,1,,35  m2,1960,840.000,,,1.260  m2,372.500,,,0%,,,,2017,,6.428  , 5.510  kr.
1965,Vejlands Allé 21,171.0,København S,Villa,True,55.643269760504296,12.612328808062902,2300,4.995.000 ,1450000059,,2.100  m,950  m,4.100  m,,,,2,7,2,,227  m2,1947,2.550.000,E,,6.277  m2,427.600,,,-9%,,,Termo,2018,,12.404  , 10.754  kr.
1972,Stenlandsvej 50,184.0,København S,Villa,False,55.641657939743205,12.5904508251334,2300,6.095.000 ,1200000097,,2.500  m,750  m,,,1.100  m,,1,4,1,,105  m2,2006,1.550.000,,,1.204  m2,351.600,,,0%,,Pillefyr og brændeovn,Termo,2017,Træ,8.024  , 6.880  kr.
1981,Vestermarksvej 33,199.0,København S,Villa,False,55.6432389525371,12.5929984808727,2300,6.350.000 ,1340000025,,1.000  m,350  m,,,,,1,4,1,,104  m2,1952,2.000.000,,,1.106  m2,562.100,,,0%,keramisk kogeplade -  indbygningsovn -  opvaskemaskine -  køle-/fryseskab -  emhætte -  vaskemaskine -,,Termo,2018,Mursten,10.827  , 9.286  kr.
1984,"Uplandsgade 20, 2. tv.",206.0,København S,Ejerlejlighed,False,55.6671299880311,12.601571013187199,2300,6.495.000 ,1680000038,,1.700  m,150  m,,,,,1,3,1,,49  m2,1967,850.000,,,1.009  m2,387.700,,,0%,Voss komfur - Alaska  mirkoovn - Blomberg køle-/fryseskab - lyset i  køleskabet virker ikke.,,Dobbelte,2018,Træ,4.643  , 3.980  kr.
1994,"Teglbrændervej 8, st.. th.",37.0,København NV,Ejerlejlighed,False,55.7071765989612,12.5365735449496,2400,1.295.000 ,1620000088,,1.400  m,550  m,,,,,,4,1,,138  m2,1972,1.450.000,,,1.200  m2,374.400,,,0%,,Elvarme,,2017,Træbeklædning,6.428  , 5.510  kr.
2000,"Frimestervej 7, st.. tv.",50.0,København NV,Ejerlejlighed,False,55.7068500310984,12.536623159235802,2400,1.695.000 ,1620000097,,100  m,150  m,500  m,,300  m,,1,5,1,,127  m2,1984,2.250.000,E,,322  m2,765.800,,,0%,Voss keramisk komfur - Electrolux opvaskemaskine - Gorenje køle-/fryseskab -  emhætte - Bosch vaskemaskine -,,Termo,2017,Mursten,10.075  , 8.733  kr.
2001,"Borups Allé 235A, 2. th.",46.0,København NV,Ejerlejlighed,False,55.7001534056927,12.520445221379099,2400,1.295.000 ,1620000063,,,,,,,,1,5,1,,91  m2,1997,1.450.000,,,1.476  m2,417.500,,,0%,InduktionskogepladerIndbygningsovnMicroovnOpvaskemaskineKøle-/fryseskabEmhætte kombineret vaskemaskine/tørretumbler -,Varmepumpe / elvarme & brændeovn,Termo,2017,Træ,8.629  , 7.400  kr.
2008,"Frimestervej 40, 2. th.",58.0,København NV,Ejerlejlighed,True,55.708717465407105,12.537026786408902,2400,1.995.000 ,1620000122,,1.400  m,150  m,,,,,1,3,1,,54  m2,1966,1.300.000,,,1.181  m2,580.400,,,0%,Miele komfurMicroovn2016 køle-/fryseskabOpvaskemaskineWhirlpool vaskemaskine - 2016,,Termo,2017,Træbeklædning,6.441  , 5.521  kr.
2009,"Vibevej 28, 1. th.",57.0,København NV,Ejerlejlighed,False,55.6992167429212,12.530125148350999,2400,1.945.000 ,1620000099,,1.500  m,50  m,,,,,2,5,2,,148  m2,1959,2.300.000,,,2.562  m2,708.900,Offentlig,,0%,"Komfur mrk. Gaggenau, microovn mrk. Siemens, indbygget køleskab incl. topfryser mrk. Siemens, køle/fryseskab mrk. Simens, opvaskemaskine mrk. Simens, vaskemaskine mrk. AEG, samt tørretumbler mrk. Blomberg.",Elvarme & brændeovn,Termo,2017,Pudset,21.864  , 18.757  kr.
2010,"Ørnevej 80, 3. tv.",52.0,København NV,Ejerlejlighed,False,55.7034350619767,12.5255858746895,2400,2.095.000 ,1620000078,,1.700  m,500  m,,,,,,4,1,,103  m2,1977,1.543.900,,,2.489  m2,650.800,,,0%,"Komfur mrk. Gaggenau, microovn mrk. Gaggenau, ovn mrk. Gaggenau, køle-/fryseskab mrk. Gaggenau, opvaskemaskine mrk. Miele, samt vaskemaskine mrk. Siemens. Desuden en varmepumpe.","Elvarme, varmepumpe",Termo,2017,Træ,9.660  , 8.293  kr.
2011,"Oldermandsvej 45, 2. th.",58.0,København NV,Ejerlejlighed,False,55.70749183049929,12.538114450734902,2400,1.695.000 ,1620000058,,1.000  m,300  m,500  m,,,,1,5,2,,140  m2,2006,1.700.000,C,,929  m2,382.700,,,0%,emhætte - Siemens glaskeramisk bordkomfur - Siemens indbygningsovn - Samsung køle/fryseskab - Samsung opvaksemaskine - Samsung vaskemaskine - Siemens tørretumbler -,,,2018,,10.460  , 9.052  kr.
2021,"Birkedommervej 19, st.. th.",65.0,København NV,Ejerlejlighed,True,55.7086509684052,12.529311096996,2400,1.995.000 ,1620000124,,600  m,,400  m,,,,2,5,1,,138  m2,1937,1.500.000,D,,788  m2,402.600,,26  m2,0%,emhætte -  komfur -  køleskab -  vaskemaskine - De på ejendommen tilstedeværende hårde hvidevarer,,,2018,,6.987  , 6.045  kr.
2022,"Theklavej 47, 3. 71.",65.0,København NV,Ejerlejlighed,False,55.705837366554206,12.5254506609323,2400,1.995.000 ,1020000087,,200  m,,600  m,,,,1,3,,,143  m2,1970,1.950.000,C,,,384.700,,,0%,De på ejendommen værende hårde hvidevarer medfølger,,,2017,,5.047  , 4.365  kr.
2023,"Bisiddervej 10, 3. th.",63.0,København NV,Ejerlejlighed,False,55.70628461876721,12.5331477822759,2400,2.195.000 ,1620000062,,200  m,,3.000  m,,,,2,5,2,Privat,164  m2,1974,1.200.000,E,,813  m2,390.600,Offentlig,,0%,"Eico Emhætte, Ikea glaskeramisk kogeplader, Ikea køle/fryseskab, Ariston vaskemaskine, Baucknecht Tørretumbler",,Termo,2018,,7.742  , 6.698  kr.
2024,"Tingskrivervej 3, 1. th., Nordvest",66.0,København NV,Ejerlejlighed,False,55.7090301042519,12.529053079948401,2400,2.295.000 ,111-00024,,250  m,,500  m,,,,2,4,,,102  m2,1963,1.200.000,D,,1.162  m2,425.300,,102  m2,0%,"Siemens emhætte, Siemens glaskeramisk kogeplader, Siemens indbygningsovn, Siemens køle/fryseskab, Siemens opvaskermaskine, Bauknect vaskemaskine, Siemens tørretumbler.Kummefryser medfølger ikke.",,Termo,2017,,10.822  , 9.365  kr.
2025,"Frimestervej 18, st.. tv.",68.0,København NV,Ejerlejlighed,False,55.7072713157675,12.5371305646577,2400,2.495.000 ,162N00257,,1.000  m,,2.000  m,,,,2,7,,,150  m2,1850,1.250.000,G,,820  m2,390.900,,,0%,"Emhætte, glaskeramisk komfur, køle/fryseskab, opvaskermaskine, vaskemaskine, tørretumbler",,,2017,,5.357  , 4.633  kr.
2037,"Bisiddervej 2, 1. mf.",78.0,København NV,Ejerlejlighed,False,55.7062882855129,12.5324053950739,2400,2.495.000 ,1620000082,,600  m,400  m,500  m,,,,,5,2,,150  m2,2004,2.100.000,C,,819  m2,631.400,,,0%,Miele induktions kogepladeMiele indbygningsovnEmhætteIntegreret køleskabQuooker og vaskemaskine medfølger IKKE.,,Termo,2018,Mursten / træ,13.993  , 12.131  kr.
2038,"Oldermandsvej 49, 4. tv.",78.0,København NV,Ejerlejlighed,False,55.7074883683149,12.5384963379656,2400,2.795.000 ,1620000040,,500  m,400  m,600  m,,,,,7,2,,180  m2,2005,2.650.000,B,,1.174  m2,769.900,,,0%,MIele indbygningsovn  - Miele induktions kogeplade - fra år 2018 integreret opvaskemaskine  - Miele  fryser  - Miele dampovn  - Miele vaskemaskine  - Miele tørretumbler  -,,Termo,2018,Mursten / træ,16.507  , 14.310  kr.
2039,"Tingskrivervej 1, 1. tv.",79.0,København NV,Ejerlejlighed,False,55.70886985007521,12.529053906389,2400,2.498.000 ,162w00665,,300  m,200  m,200  m,,,,,4,2,,136  m2,1948,1.450.000,E,,421  m2,488.100,,,0%,Voss komfur  - Gorenje emhætte  - Elektrolux køle-/fryseskab  - Blomberg  opvaskemaskine  - Bosch vaskemaskine  - Whirlpool tørretumbler  -,,Termo,2018,Mursten / træ,8.233  , 7.136  kr.
2047,"Emdrupvej 114, 2. th.",90.0,København NV,Ejerlejlighed,True,55.7229650391045,12.535302149107098,2400,2.395.000 ,1620000126,,1.000  m,,2.000  m,,,,1,3,1,,106  m2,1987,1.700.000,E,,1.233  m2,722.800,,,0%,Voss induktion komfur - Electrolux kombi køle/fryseskab - Gram opvaskermaskine - Bauknecht vaskemaskine -,,,2018,,8.823  , 7.635  kr.
2048,"Glasvej 33, 3. th.",85.0,København NV,Ejerlejlighed,False,55.7055035214606,12.5313583640846,2400,4.295.000 ,1110000055,,500  m,,2.500  m,,,,1,3,1,,86  m2,1939,1.250.000,G,,1.144  m2,462.900,,6  m2,0%,Gorenje emhætte - Gram komfur - LG køle/fryseskab - Opvaskermaskine bosch -,,,2018,,5.249  , 4.541  kr.
2049,"Emdrupvej 155, 1. th.",89.0,København NV,Ejerlejlighed,False,55.722861151206,12.5322188154274,2400,2.495.000 ,1620000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,"Frederiksborgvej 12B, 1. th.",88.0,København NV,Ejerlejlighed,False,55.702619723759994,12.5336034872591,2400,2.895.000 ,162N00369,,600  m,,,700  m,2.300  m,,1,3,,,69  m2,2001,890.000,,,1.141  m2,342.400,se salgsopstilling,,-10%,De på ejendommen værende hårde hvidevarer medfølger i handlen,el-paneler / brændeovn,termo,2015,,3.654  , 3.125  kr.
2059,"Henriksvej 18, 1., Emdrup",99.0,København NV,Villalejlighed,False,55.7195086413614,12.5332926907211,2400,3.995.000 ,1620000009,,2.000  m,,1.400  m,,,,1,4,2,,150  m2,2002,1.700.000,D,,1.374  m2,529.900,,,0%,De på ejendommen tilstedeværende hårde hvidevarer,,,2018,,12.173  , 10.536  kr.
2069,"Frederiksborgvej 38, 3. MF.",101.0,København NV,Ejerlejlighed,False,55.7048505226934,12.532795773978501,2400,3.845.000 ,102N00145,,,,,200  m,,,2,3,2,,146  m2,1968,2.400.000,D,,1.292  m2,1.214.800,,40  m2,0%,Siemens indbygningsovn  - Siemens kombiovn med micro - den fungerer også som alm. bage-/varmluftsovn)Siemens opvaskemaskine - Siemens vaskemaskine - Siemens  tørretumbler - Siemens keramisk kogeplader - Siemens emhætte - Siemens fryseskab  - Siemens køle-/fryseskab -,,Tolags energiruder,2018,,18.146  , 15.732  kr.
2080,"Thoravej 6, 2. 5.",128.0,København NV,Ejerlejlighed,True,55.7051299146471,12.5303714194399,2400,3.995.000 ,1620000118,,3.500  m,555  m,1.900  m,15  m,,,2,8,2,Kabel-TV + fiber iflg. sælger,231  m2,1969,4.800.000,E,,1.342  m2,1.984.000,,33  m2,0%,Siemens induktionskogeplade - Siemens indbygningsovn - Siemens mikrobølgeovn - Miele opvaskemaskine - AEG køleskab - Electrolux dybfryser - Siemens emhætte - Miele vaskemaskine - Siemens tørretumbler -,,Primært 2-lags termoruder,2017,"Mursten (tegl, kalksten, cementsten)",26.773  , 23.652  kr.
2090,"Hyrdevangen,  104, Utterslev",175.0,København NV,Villa,False,55.7130088541952,12.514643243008402,2400,5.495.000 ,102L00333,,650  m,350  m,,,,,1,2,1,Kabel-TV/Hybrid jf. administrator besvarelsen,48  m2,1959,760.000,E,1,,198.100,,,0%,Alle lejlighedens hårde hvidevarer medfølger i handlen,,Termo,2018,,4.481  , 3.955  kr.
2101,"Johan Kellers Vej 46, 4. tv.",59.0,København SV,Ejerlejlighed,True,55.65499921974789,12.535668259966302,2450,1.995.000 ,1130000074,1.100  kr.,950  m,350  m,1.500  m,,,,1,4,,,110  m2,2019,,A15,,,,,,,,,,,,,
2102,"Johan Kellers Vej 44, 3. tv.",59.0,København SV,Ejerlejlighed,True,55.6550879615463,12.5357152312658,2450,1.995.000 ,1110000161,1.100  kr.,950  m,350  m,1.500  m,,,,1,4,2,,110  m2,2018,,A15,,,,,,,,,,,,,
2103,"Monica Zetterlunds Vej 3, 3. 2., Magnolieholm",60.0,København SV,Ejerlejlighed,False,,,2450,2.750.000 ,177I00136,,,,,,,,1,4,2,,143  m2,2006,2.550.000,C,,524  m2,774.500,,,0%,Komfur mrk. BoschEmhætte mrk. ukendtKombineret køle/fryseskab mrk. Bosch Vaskemaskine mrk. Bosch Tørretumbler mrk. Bosch Opvaskemaskine mrk. Gorenje Medfølger ikke:UdeSPA mrk. Hydropool. Værdi 75.000 kr.,,,2017,,16.932  , 14.712  kr.
2104,"Haydnsvej 21, st.. tv.",54.0,København SV,Ejerlejlighed,False,55.6493205415724,12.524656173450401,2450,1.995.000 ,177S00067,,,,,,,,1,5,2,,160  m2,1969,2.050.000,D,,1.023  m2,1.155.400,,,0%,Indbygningsovn mrk. VossKogeplade mrk. VossEmhætte mrk. Thermor-turboKøleskab mrk. Zanussi Fryser mrk. Vestfrost Vaskemaskine mrk. Indesit Tørretumbler mrk. AEG Opvaskemaskine mrk. AEG,,,2017,,11.617  , 10.070  kr.
2105,"George Marshalls Vej 27, 6. 3., Projektnr. G1 609",60.0,København SV,Ejerlejlighed,False,,,2450,3.495.000 ,177U00043,,800  m,,1.400  m,,,,1,3,2,,79  m2,1965,830.000,D,1,,266.500,,,0%,,,,2018,,4.847  , 4.209  kr.
2115,"Andrei Sakharovs Vej 25, 3. 2., Projektnr.  P 323",70.0,København SV,Ejerlejlighed,False,,,2450,3.895.000 ,177Q00131,,,,,,,,2,6,1,,168  m2,1972,2.550.000,C,,727  m2,967.800,,,-3%,Komfur - medfølgerEmhætte - medfølgerGram køle/fryse skab - medfølgerBosch vaskemaskine - medfølgerBosch opvaskemaskine - medfølger,,,2018,,13.046  , 11.334  kr.
2125,"Andrei Sakharovs Vej 13, 5. tv., Projektnr. G 508",71.0,København SV,Ejerlejlighed,False,55.6566928534801,12.5607202299396,2450,3.495.000 ,177Q00066,,500  m,100  m,,,,,,0,,,51  m2,1968,820.000,C,2,,129.500,,,0%,Køle/fryseskabEmhætteKomfurOpvaskemaskine,Centralvarme,Termo/ lavenergi,2018,Gule sten,4.859  , 4.231  kr.
2133,"Monica Zetterlunds Vej 21, 1. th., Magnolieholm",88.0,København SV,Ejerlejlighed,False,55.64667700828571,12.547491963500098,2450,3.899.000 ,177I00072,,,100  m,400  m,,,Yes,1,4,2,,99  m2,1968,1.550.000,C,2,,264.100,,,0%,"Siemens Emhætte, 80 cm bordkomfur, Indbygningsovn, inbygnings kombiovn, vaskemaskine og tørretumbler",centralvarme,termo,2018,gule sten,8.906  , 7.756  kr.
2134,"Teglholm Tværvej 23, 3. tv.",85.0,København SV,Ejerlejlighed,False,55.6493879866712,12.549154637814802,2450,3.575.000 ,1770000496,,30  m,30  m,400  m,,,Yes,7,2,1,,80  m2,2020,1.750.000,A15,,,280.000,,,0%,Siemens vaskemaskine - wm14b262dnSiemens induktionskogeplader - eu611beb2eSiemens tørretumbler - wt44e1l7dnSiemens opvaskemaskine - sn636xo3aeSiemens køle-/fryseskab - ki38vv20Silverline emhætte - sl1151cvSiemens elovn - hb578acsos,Fjernvame med radiatorer (gulvvarme i bad),Træ/alu,2020,Beklædningstegl i byens farver,9.687  , 8.436  kr.
2135,"Monica Zetterlunds Vej 3, 4. 1., Magnolieholm",84.0,København SV,Ejerlejlighed,False,,,2450,3.600.000 ,177I00139,,,100  m,,,,Yes,1,4,,,99  m2,1968,1.550.000,C,1,,264.100,,,0%,emhætte -  komfur -  køleskab -  køle/fryseskab -  vaskemaskine -,,,2018,,8.144  , 7.093  kr.
2136,"George Marshalls Vej 29, 6. mf., Projektnr. B1 605",85.0,København SV,Ejerlejlighed,False,,,2450,4.695.000 ,177U00063,,1.700  m,600  m,,50  m,,,2,4,,,103  m2,2020,3.495.000,A15,,126  m2,700.000,,,0%,Se Materialebeskrivelsen bilag 1.5  Køle-fryseskab (integreret) Siemens - Indbygningsovn Siemens - Kogeplade Siemens som ET645HE17 - Emhætte Silverline som SL 1151 - Opvaskemaskine (integreret) Siemens som SN636X02AE - Vaskemaskine Siemens som WM14B262DN - Tørretumbler Siemens (kondens) som WT44E1L7DN,,,2019,Skiferbeklædning og listebeklædning,13.528  , 11.784  kr.
2150,"Kenny Drews Vej 23, 2. tv.",93.0,København SV,Ejerlejlighed,True,55.646192917456204,12.549888664336299,2450,4.150.000 ,1770001045,,,,,,,Yes,1,3,1,,114  m2,2017,960.000,A15,2,,315.400,,,0%,"Emhætte, mrk. Øland HIT. Kogeplade, mrk. Bosch. Indbygningsovn, mrk. Bosch. Køle/fryseskab, mrk. Bosch. Opvaskemaskine, mrk. Siemens. Vaskemaskine, mrk. Bosch. Tørretumbler, mrk. Bosch.",Fjernvarme,Lavenergi,2018,Betonelementer,14.295  , 12.453  kr.
2151,"Teglholmsgade 66, 2. mf.",98.0,København SV,Ejerlejlighed,True,55.6496491890794,12.555462433131199,2450,3.850.000 ,1770001049,,400  m,250  m,200  m,,,,2,7,2,,176  m2,1953,3.250.000,D,,986  m2,1.218.900,,67  m2,0%,Emhætte: Thermex. Kogeplade: Siemens. Indbygningsovn: Siemens. Køle/fryseskab: Siemens. Opvaskemaskine: Siemens. Vaskemaskine: Siemens. Tørretumbler: Siemens.,Oliefyr,Lavenergi,2018,Mursten,25.095  , 21.866  kr.
2152,"Monica Zetterlunds Vej 25, 1. th., Magnolieholm",98.0,København SV,Ejerlejlighed,False,,,2450,4.000.000 ,177I00099,,500  m,500  m,4.000  m,,,,2,4,2,,128  m2,2008,2.250.000,B,,153  m2,604.000,,,0%,Kogeplade: Siemens. Ovn: Siemens. Emhætte: Siemens. Køle/fryseskab: Siemens. Opvaskemaskine: Siemens. Vaskemaskine: Siemens. Tørretumbler: Siemens.,Fjernvarme,Lavenergi,2018,Beton,12.757  , 11.112  kr.
2153,"Martin Luther Kings Vej 7, 3. th.",94.0,København SV,Ejerlejlighed,False,,,2450,4.895.000 ,177H00030,,400  m,250  m,4.000  m,,,,1,6,2,,163  m2,1988,3.050.000,D,,1.220  m2,1.171.300,,,0%,Emhætte: Siemens. Kogeplade: Siemens. Indbygningsovn: Bosch. Køle/fryseskab: Siemens. Opvaskemaskine: Bosch. Vaskemaskine: Miele. Tørretumbler: Miele.,Naturgas - Suppl. brændeovn,2 lags termoruder,2018,Træbeklædning,22.675  , 19.757  kr.
2154,"Monica Zetterlunds Vej 23, 3. th., Magnolieholm",99.0,København SV,Ejerlejlighed,False,55.646611897116,12.5477843603598,2450,4.300.000 ,177I00093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,"Teglholmsgade 80, 3. th.",102.0,København SV,Ejerlejlighed,True,55.650195887993796,12.5547927912973,2450,4.075.000 ,1770001092,,3.000  m,1.500  m,,,,,,4,2,,118  m2,1998,1.550.000,,,1.192  m2,489.700,,,0%,,,,2018,,10.438  , 8.951  kr.
2203,"Monica Zetterlunds Vej 13, 2. tv., Magnolieholm",104.0,København SV,Ejerlejlighed,False,,,2450,4.750.000 ,177I00025,,3.500  m,,,,800  m,,1,7,,,150  m2,1967,1.400.000,,,1.501  m2,447.700,,,0%,Whirlpool opvaskemaskine  - Elektrolux tørretumbler  - Bosch elkomfur  - Thermex emhætte  - Vestfrost kummefryser  - Elektrolux køleskab  -,,,2018,,12.811  , 10.974  kr.
2204,"Monica Zetterlunds Vej 21, 1. mf., Magnolieholm",106.0,København SV,Ejerlejlighed,False,55.64667700828571,12.547491963500098,2450,5.300.000 ,177I00071,,5.000  m,,2.700  m,1.800  m,270  m,,1,5,1,Parabol - mulighed for Yousee,108  m2,1954,1.350.000,D,,1.177  m2,394.000,Offentlig,,0%,Toshiba elvarmepumpeSiemens emhætteSiemens køle-/fryseskabSiemens opvaskemaskineSiemens indbygningsovnSiemens kogepladerVaskemaskine mrk. Bauknecht medfølger IKKE.,"Elvarme, brændeovn","2-lags energirude, 2-lags termorude",2017,,11.617  , 10.060  kr.
